question,contexts,answer,ground_truth
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量是336681辆。,336681辆。
欧洲央行管委维勒鲁瓦对欧元区通胀数据的态度是什么？,"['标题：欧洲央行管委维勒鲁瓦：最新的欧元区通胀数据让欧央行有信心很快再次降息\n内容：【欧洲央行管委维勒鲁瓦：最新的欧元区通胀数据让欧央行有信心很快再次降息】欧洲央行管委维勒鲁瓦表示，最新的欧元区通胀数据让欧央行有信心很快再次降息，特朗普的关税不会对欧洲的反通胀产生重大影响。', '标题：欧洲央行管委维勒鲁瓦：4月2日的关税政策支持尽快降低基准利率\n内容：欧洲央行管委维勒鲁瓦表示，4月2日的关税政策支持尽快降低基准利率。']",维勒鲁瓦表示，最新的欧元区通胀数据让欧洲央行有信心很快再次降息。他认为特朗普的关税不会对欧洲的反通胀产生重大影响。此外，4月2日的关税政策也支持尽快降低基准利率。这表明他对当前的通胀数据持乐观态度，并认为有足够的理由推动进一步的货币政策宽松。,欧洲央行管委维勒鲁瓦表示，最新的欧元区通胀数据让欧央行有信心很快再次降息。
特斯拉的日内涨幅达到了多少？,"['标题：特斯拉日内涨幅扩大至5%\n内容：【特斯拉日内涨幅扩大至5%】特斯拉日内涨幅扩大至5%，现报282.35美元/股。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。', '标题：特斯拉美股盘前涨近4%\n内容：特斯拉美股盘前涨近4%，昨日收跌逾1%。']",特斯拉的日内涨幅扩大至5%。,5%
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量为336681辆。,336681辆
诺瓦瓦克斯医药的跌幅扩大到了多少？,"['标题：诺瓦瓦克斯医药跌幅扩大至4%\n内容：【诺瓦瓦克斯医药跌幅扩大至4%】诺瓦瓦克斯医药短线跳水，跌幅扩大至4%。据报道，该公司新冠疫苗不可能很快获批。', '标题：诺瓦瓦克斯一度下跌超25%\n内容：诺瓦瓦克斯一度下跌超25%，此前美国卫生部长小罗伯特·肯尼迪对该公司的新冠肺炎疫苗的有效性表示怀疑，因为该疫苗在美国的审批被推迟。']",诺瓦瓦克斯医药的跌幅扩大至4%。,4%
Comex黄金的日内涨幅是多少？,"['标题：Comex黄金日内涨幅达1%\n内容：【行情】Comex黄金日内涨幅达1%，现报3177.5美元/盎司。', '标题：现货黄金日内涨幅扩大至3%\n内容：现货黄金日内涨幅扩大至3%，报3175.32美元/盎司，续创历史新高。']",Comex黄金的日内涨幅达到1%。,1%
美股低开高走，纳指的涨幅超过了多少？,"['标题：美股低开高走 纳指涨超1%\n内容：【行情】美股低开高走，纳指涨超1%，标普500指数涨0.6%，道指涨0.4%。', '标题：美股低开高走 纳斯达克指数收复5%的跌幅并涨超1%\n内容：美股低开高走，纳斯达克指数收复5%的跌幅并涨超1%，道指收窄跌幅至0.5%。']",纳指的涨幅超过了1%。,1%
金沙江创投主管合伙人朱啸虎关于人形机器人的观点是什么？,"['标题：“正批量退出人形机器人”投资大佬公开发言引论战！同行怒怼：你别闹了\n内容：【“正批量退出人形机器人”投资大佬公开发言引论战！同行怒怼：你别闹了】近日，创投圈因人形机器人引发热议。金沙江创投管理合伙人朱啸虎公开表示正批量退出人形机器人公司，因其商业化路径不清晰。这一言论遭到经纬创投创始人张颖反驳，张颖认为该赛道未来一定能诞生大公司。', '标题：理性看个别创投机构退出人形机器人赛道 不能以短期落地能力来否定长期发展潜力\n内容：【理性看个别创投机构退出人形机器人赛道 不能以短期落地能力来否定长期发展潜力】今年以来，人形机器人相关产业热度攀升，备受市场关注。日前，金沙江创投主管合伙人朱啸虎“我们正批量退出人形机器人公司”的观点引发行业热议。此后，A股市场人形机器人概念板块上演了一波“冷热交替”行情——先是接连多日下跌，后又重启上涨模式。']",朱啸虎公开表示正批量退出人形机器人公司，因其商业化路径不清晰。这一观点引发了行业热议，并导致A股市场人形机器人概念板块出现了一波“冷热交替”行情——先是接连多日下跌，后又重启上涨模式。,金沙江创投主管合伙人朱啸虎表示“我们正批量退出人形机器人公司”。
2024年重庆啤酒的营收和净利润分别是多少？,"['标题：2024年重庆啤酒营收净利“双降”背后：高端化困局与一场合同纠纷的隐忧\n内容：【2024年重庆啤酒营收净利“双降”背后：高端化困局与一场合同纠纷的隐忧】4月2日晚，重庆啤酒交出了一份营收净利“双降”的“成绩单”，同时还一口气发布了20多条公告。财报显示，2024年重庆啤酒营收约为146.45亿元，相比上年同期下滑1.15%；归属于上市公司股东的净利润约为11.15亿元，同比下滑16.61%；归属于上市公司股东的扣除非经常性损益的净利润则约为12.22亿元，同比下滑7.03%。对于此次利润的下滑，重庆啤酒在财报中表示主要由于“非主营业务”，即此前因与重庆嘉威啤酒的合同纠纷，导致重庆啤酒的子公司计提预计负债约2.54亿元。', '标题：青岛啤酒：2024年净利润同比增长1.81% 拟10派22元\n内容：【青岛啤酒：2024年净利润同比增长1.81% 拟10派22元】青岛啤酒(600600)3月30日晚间发布2024年年报，2024年营业收入321.38亿元，同比减少5.3%；归属于母公司所有者的净利润43.45亿元，同比增长1.81%；基本每股收益3.191元。拟每股派发现金股利2.20元(含税)。报告期内，青岛啤酒主品牌共实现产品销量434万千升，其中中高端以上产品实现销量315.4万千升。']",2024年重庆啤酒的营收约为146.45亿元，归属于上市公司股东的净利润约为11.15亿元。,2024年重庆啤酒的营收约为146.45亿元，净利润约为11.15亿元。
北约秘书长认为丹麦和美国在北极地区应共同关注什么？,"['标题：北约秘书长：格陵兰岛是丹麦的一部分\n内容：【北约秘书长：格陵兰岛是丹麦的一部分】当地时间4月2日，北约秘书长吕特在布鲁塞尔举行的新闻发布会上表示，格陵兰岛是丹麦的一部分。不过，就记者提出的关于美国希望控制格陵兰岛的问题，他表示无法给出更具体的解释。吕特称，对北约来说，更重要的议题是关注北极安全，丹麦和美国都是北极地区的国家，应当共同维护该地区的稳定。', '标题：丹麦外交大臣回应万斯：我们刚在北极投资了数十亿美元\n内容：【丹麦外交大臣回应万斯：我们刚在北极投资了数十亿美元】丹麦外交大臣拉斯穆森当地时间3月29日在社交媒体上发表了一段视频，他表示，他不喜欢美国副总统万斯声称格陵兰岛“投资不足”等言论的语气，“这不是对亲密盟友讲话的方式”。拉斯穆森称，丹麦也在加大投入，就在几周前，丹麦作出了一项价值数十亿美元的北极安全投资。这笔投资将用于增加无人机、舰船和人员，并且在今年晚些时候还会有更多投入。不过，拉斯穆森同时说，他认为丹麦和美国仍是亲密盟友。']",北极安全和该地区的稳定。,共同维护该地区的稳定。
